,Feature,F-score
17,last_pymnt_amnt,6661.68795268373
20,last_pymnt_d_year,3429.1102744886234
15,recoveries,2949.6143046019433
21,term_months,2482.3917087229497
14,total_rec_late_fee,1150.4205623807204
10,revol_util,945.4495958530383
22,emp_length,865.4156830333617
8,inq_last_6mths,368.4997973064599
23,verification_status,269.0211396508978
24,earliest_cr_line_month,220.34494054376427
6,annual_inc,168.61785610116
7,dti,167.88302036462323
19,last_credit_pull_d_year,133.7605158814329
9,pub_rec,114.7475197105801
