,Feature,F-score
17,last_pymnt_amnt,6680.2827741478095
20,last_pymnt_d_year,3477.1380312636265
15,recoveries,2991.6765181405954
21,term_months,2384.1999491092893
14,total_rec_late_fee,1156.6835318428823
10,revol_util,980.7944764930701
22,emp_length,839.8600912378242
8,inq_last_6mths,374.23998820373606
23,verification_status,311.46972249375284
24,earliest_cr_line_month,230.50907401829207
7,dti,172.92476341650178
6,annual_inc,161.63842303558226
19,last_credit_pull_d_year,129.15919667440292
9,pub_rec,103.05567308962499
