,Feature,F-score
13,total_rec_prncp,14282.709386233311
17,last_pymnt_amnt,6661.68795268373
11,total_pymnt,5858.79301244577
12,total_pymnt_inv,5784.305470335763
3,int_rate,4177.691245792941
5,sub_grade,3579.6861790006224
4,grade,3470.969277830102
20,last_pymnt_d_year,3429.1102744886234
15,recoveries,2949.6143046019433
21,term_months,2482.3917087229497
14,total_rec_late_fee,1150.4205623807204
16,collection_recovery_fee,988.2649986300323
10,revol_util,945.4495958530383
22,emp_length,865.4156830333617
8,inq_last_6mths,368.4997973064599
0,loan_amnt,296.44138296309023
23,verification_status,269.0211396508978
1,funded_amnt,257.61590461487754
24,earliest_cr_line_month,220.34494054376427
6,annual_inc,168.61785610116
7,dti,167.88302036462323
2,funded_amnt_inv,147.81510740390823
19,last_credit_pull_d_year,133.7605158814329
18,pub_rec_bankruptcies,120.01533383056395
9,pub_rec,114.7475197105801
