,Feature,F-score
13,total_rec_prncp,14188.03949035915
17,last_pymnt_amnt,6680.2827741478095
11,total_pymnt,5872.5315524452235
12,total_pymnt_inv,5777.42256992059
3,int_rate,4170.693874508528
5,sub_grade,3599.931369799869
4,grade,3495.337658186531
20,last_pymnt_d_year,3477.1380312636265
15,recoveries,2991.6765181405954
21,term_months,2384.1999491092893
14,total_rec_late_fee,1156.6835318428823
16,collection_recovery_fee,998.3941196287973
10,revol_util,980.7944764930701
22,emp_length,839.8600912378242
8,inq_last_6mths,374.23998820373606
23,verification_status,311.46972249375284
0,loan_amnt,292.7015722702648
1,funded_amnt,245.01658104502917
24,earliest_cr_line_month,230.50907401829207
7,dti,172.92476341650178
6,annual_inc,161.63842303558226
2,funded_amnt_inv,140.5261051615695
19,last_credit_pull_d_year,129.15919667440292
9,pub_rec,103.05567308962499
18,pub_rec_bankruptcies,92.93813134076545
