,Feature,Logistic_regression_feature_weights
7,last_pymnt_amnt,4.1338627640681525
9,last_pymnt_d_year,2.839026473783043
11,emp_length,0.21729860231503192
0,annual_inc,0.20083664358465533
12,verification_status,0.09445444224529734
13,earliest_cr_line_month,0.04542942929872315
5,total_rec_late_fee,-0.024208915278046795
2,inq_last_6mths,-0.18007812334256515
1,dti,-0.20750964520490406
3,pub_rec,-0.24057370732782996
4,revol_util,-0.31155154668024754
8,last_credit_pull_d_year,-3.2715277421139466
10,term_months,-3.51542485767467
6,recoveries,-5.493769488264824
